13.5.21 12:17
Statistika projektu

                             	Segmenty	 Slova	Znaky (bez mezer)	Znaky (včetně mezer)	#Soubory	
Celkem:                      	   45952	551706	          3110852	             3605509	     652	
Zbývající:                   	   36410	479036	          2695667	             3129142	     616	
Jedinečné segmenty:          	   34766	490422	          2734557	             3182321	     652	
Zbývající jedinečné segmenty:	   30782	437335	          2445441	             2844509	     616	


Statistika jednotlivých souborů:

Název souboru                                                                                        	Segmenty celkem	Zbývající segmenty	Jedinečné segmenty	Zbývající jedinečné segmenty	Slova celkem	Zbývající slova	Jedinečná slova	Jedinečná Zbývající slova	Znaky celkem (bez mezer)	Zbývající znaky (bez mezer)	Jedinečné znaky (bez mezer)	Zbývající jedinečné znaky (bez mezer)	Znaky celkem (včetně mezer)	Zbývající znaky (včetně mezer)	Jedinečné znaky (včetně mezer)	Jedinečné zbývající znaky (včetně mezer)	
admin-common-data-service.md                                                                         	             47	                44	                44	                          44	         689	            683	            683	                      683	                    4611	                       4542	                       4542	                                 4542	                       5212	                          5142	                          5142	                                    5142	
admin-configuring-api-template.md                                                                    	             24	                21	                22	                          21	         453	            448	            449	                      448	                    2507	                       2462	                       2467	                                 2462	                       2917	                          2871	                          2876	                                    2871	
admin-data-access-intent.md                                                                          	             32	                27	                26	                          26	         374	            361	            360	                      360	                    2302	                       2170	                       2162	                                 2162	                       2633	                          2495	                          2487	                                    2487	
admin-data-retention-policies.md                                                                     	            101	                98	                89	                          89	        1089	           1084	           1071	                     1071	                    6211	                       6160	                       6052	                                 6052	                       7171	                          7119	                          7007	                                    7007	
admin-extend-trial.md                                                                                	             32	                30	                29	                          29	         535	            531	            514	                      514	                    2933	                       2893	                       2814	                                 2814	                       3417	                          3376	                          3281	                                    3281	
admin-feature-management.md                                                                          	             12	                10	                10	                          10	         119	            115	            115	                      115	                     693	                        653	                        653	                                  653	                        798	                           757	                           757	                                     757	
admin-gather-customer-setup-values.md                                                                	             98	                94	                92	                          92	        1226	           1214	           1180	                     1180	                    7176	                       7080	                       6850	                                 6850	                       8283	                          8180	                          7920	                                    7920	
admin-how-set-up-colored-indicator-on-cues.md                                                        	             61	                54	                53	                          53	         714	            705	            703	                      703	                    3610	                       3532	                       3515	                                 3515	                       4262	                          4183	                          4165	                                    4165	
admin-how-setup-email.md                                                                             	            160	               152	               140	                         140	        2212	           2189	           2070	                     2070	                   12901	                      12754	                      12037	                                12037	                      14897	                         14736	                         13918	                                   13918	
admin-how-to-configure-a-company-with-the-rapidstart-wizard.md                                       	             38	                35	                33	                          33	         468	            460	            438	                      438	                    2724	                       2657	                       2537	                                 2537	                       3149	                          3078	                          2938	                                    2938	
admin-how-to-configure-new-companies.md                                                              	             66	                64	                58	                          58	         855	            851	            724	                      724	                    4702	                       4662	                       3879	                                 3879	                       5479	                          5438	                          4539	                                    4539	
admin-how-to-copy-data-to-new-companies.md                                                           	             12	                10	                 9	                           9	         166	            162	            149	                      149	                     913	                        873	                        748	                                  748	                       1063	                          1022	                           887	                                     887	
admin-how-to-couple-and-synchronize-records-manually.md                                              	             38	                36	                34	                          34	         435	            431	            411	                      411	                    2579	                       2539	                       2432	                                 2432	                       2957	                          2916	                          2792	                                    2792	
