13.5.21 12:17
Statistika projektu

                             	Segmenty	 Slova	Znaky (bez mezer)	Znaky (včetně mezer)	#Soubory	
Celkem:                      	   45952	551706	          3110852	             3605509	     652	
Zbývající:                   	   36410	479036	          2695667	             3129142	     616	
Jedinečné segmenty:          	   34766	490422	          2734557	             3182321	     652	
Zbývající jedinečné segmenty:	   30782	437335	          2445441	             2844509	     616	


Statistika jednotlivých souborů:

Název souboru                                                                                        	Segmenty celkem	Zbývající segmenty	Jedinečné segmenty	Zbývající jedinečné segmenty	Slova celkem	Zbývající slova	Jedinečná slova	Jedinečná Zbývající slova	Znaky celkem (bez mezer)	Zbývající znaky (bez mezer)	Jedinečné znaky (bez mezer)	Zbývající jedinečné znaky (bez mezer)	Znaky celkem (včetně mezer)	Zbývající znaky (včetně mezer)	Jedinečné znaky (včetně mezer)	Jedinečné zbývající znaky (včetně mezer)	
ui-define-granular-permissions.md                                                                    	            203	               197	               181	                         181	        3086	           3073	           2803	                     2803	                   16838	                      16742	                      15268	                                15268	                      19679	                         19577	                         17856	                                   17856	
ui-enter-criteria-filters.md                                                                         	            258	               256	               216	                         216	        2526	           2522	           2393	                     2393	                   14110	                      14070	                      13233	                                13233	                      16371	                         16330	                         15401	                                   15401	
ui-enter-data.md                                                                                     	            285	               282	               269	                         269	        2820	           2815	           2766	                     2766	                   13376	                      13335	                      13118	                                13118	                      15791	                         15749	                         15503	                                   15503	
ui-enter-date-ranges.md                                                                              	            299	               294	               200	                         199	        2587	           2580	           2269	                     2268	                   11753	                      11708	                      10445	                                10443	                      13873	                         13827	                         12391	                                   12389	
ui-experiences.md                                                                                    	             43	                40	                36	                          36	         627	            621	            553	                      553	                    3959	                       3890	                       3492	                                 3492	                       4511	                          4441	                          3981	                                    3981	
ui-extensions-amc-banking.md                                                                         	             65	                63	                57	                          57	         878	            874	            785	                      785	                    5072	                       5032	                       4515	                                 4515	                       5861	                          5820	                          5223	                                    5223	
ui-extensions-basic-experience.md                                                                    	             38	                36	                30	                          30	         360	            356	            348	                      348	                    2158	                       2118	                       2029	                                 2029	                       2472	                          2431	                          2339	                                    2339	
ui-extensions-c5-data-migration.md                                                                   	            128	               123	               101	                         101	        1067	           1060	            992	                      992	                    5905	                       5841	                       5392	                                 5392	                       6819	                          6754	                          6263	                                    6263	
ui-extensions-ceridian-payroll.md                                                                    	             10	                 8	                 4	                           4	         119	            115	             44	                       44	                     785	                        745	                        377	                                  377	                        886	                           845	                           411	                                     411	
ui-extensions-company-hub.md                                                                         	             12	                10	                10	                          10	         165	            161	            161	                      161	                     898	                        858	                        858	                                  858	                       1048	                          1007	                          1007	                                    1007	
ui-extensions-data-replication.md                                                                    	             15	                 0	                13	                           0	         268	              0	            264	                        0	                    1767	                          0	                       1727	                                    0	                       2014	                             0	                          1973	                                       0	
ui-extensions-dynamicsgp-data-migration.md                                                           	              8	                 5	                 6	                           5	         101	             91	             97	                       91	                     729	                        654	                        689	                                  654	                        815	                           734	                           774	                                     734	
ui-extensions-essential-business-insights.md                                                         	             33	                29	                27	                          25	         330	            322	            301	                      297	                    1722	                       1654	                       1531	                                 1503	                       2016	                          1945	                          1803	                                    1773	
ui-extensions-image-analyzer.md                                                                      	             70	                67	                61	                          61	        1001	            972	            890	                      890	                    5444	                       5272	                       4838	                                 4838	                       6353	                          6157	                          5649	                                    5649	
ui-extensions-install-uninstall.md                                                                   	             71	                68	                44	                          44	         845	            839	            744	                      744	                    5232	                       5163	                       4359	                                 4359	                       5981	                          5911	                          5037	                                    5037	
ui-extensions-intelligent-cloud.md                                                                   	              7	                 0	                 5	                           0	         112	              0	            108	                        0	                     770	                          0	                        730	                                    0	                        871	                             0	                           830	                                       0	
ui-extensions-late-payment-prediction.md                                                             	             98	                95	                78	                          78	        1188	           1178	            998	                      998	                    6597	                       6530	                       5594	                                 5594	                       7670	                          7597	                          6500	                                    6500	
ui-extensions-microsoft-pay-payments.md                                                              	             27	                25	                25	                          25	         379	            375	            375	                      375	                    2293	                       2253	                       2253	                                 2253	                       2632	                          2591	                          2591	                                    2591	
ui-extensions-other.md                                                                               	             10	                 8	                 5	                           5	          99	             95	             62	                       62	                     690	                        650	                        410	                                  410	                        773	                           732	                           465	                                     465	
ui-extensions-payments-reconciliation-formats-dk.md                                                  	             95	                86	                75	                          75	         786	            775	            629	                      629	                    4373	                       4315	                       3517	                                 3517	                       5046	                          4987	                          4059	                                    4059	
ui-extensions-paypal-payments-standard.md                                                            	             19	                17	                15	                          15	         253	            249	            228	                      228	                    1483	                       1443	                       1236	                                 1236	                       1710	                          1669	                          1449	                                    1449	
ui-extensions-quickbooks-data-migration.md                                                           	             48	                46	                40	                          40	         626	            622	            601	                      601	                    3384	                       3344	                       3227	                                 3227	                       3951	                          3910	                          3778	                                    3778	
ui-extensions-quickbooks-online-data-migration.md                                                    	             47	                45	                31	                          31	         547	            543	            372	                      372	                    3031	                       2991	                       2168	                                 2168	                       3519	                          3478	                          2498	                                    2498	
ui-extensions-quickbooks-payroll.md                                                                  	             12	                10	                 9	                           9	         170	            166	            154	                      154	                    1123	                       1083	                        918	                                  918	                       1269	                          1228	                          1057	                                    1057	
ui-extensions-sales-forecast.md                                                                      	             52	                50	                28	                          28	         765	            761	            519	                      519	                    4086	                       4046	                       2775	                                 2775	                       4788	                          4747	                          3258	                                    3258	
ui-extensions-send-remittance-advice.md                                                              	              9	                 7	                 7	                           7	         151	            147	            147	                      147	                    1059	                       1019	                       1019	                                 1019	                       1193	                          1152	                          1152	                                    1152	
ui-extensions-tax-file-formats-dk.md                                                                 	              8	                 6	                 6	                           6	         112	            108	            108	                      108	                     639	                        599	                        599	                                  599	                        741	                           700	                           700	                                     700	
ui-extensions-vat-group.md                                                                           	            110	               108	               107	                         107	        1624	           1620	           1618	                     1618	                    9601	                       9561	                       9549	                                 9549	                      11070	                         11029	                         11016	                                   11016	
ui-extensions-worldpay-payments-standard.md                                                          	             10	                 8	                 5	                           5	         143	            139	             93	                       93	                     893	                        853	                        476	                                  476	                       1018	                           977	                           564	                                     564	
ui-extensions-yodlee-bank-feeds.md                                                                   	             23	                21	                17	                          17	         335	            331	            273	                      273	                    2033	                       1993	                       1677	                                 1677	                       2333	                          2292	                          1923	                                    1923	
ui-extensions.md                                                                                     	             64	                61	                14	                          14	         802	            796	            259	                      259	                    4992	                       4923	                       1511	                                 1511	                       5706	                          5636	                          1752	                                    1752	
ui-find-entries.md                                                                                   	             41	                36	                35	                          35	         441	            429	            427	                      427	                    2368	                       2268	                       2258	                                 2258	                       2764	                          2658	                          2647	                                    2647	
ui-fonts.md                                                                                          	             24	                22	                19	                          19	         169	            165	            102	                      102	                    1022	                        982	                        644	                                  644	                       1157	                          1116	                           722	                                     722	
ui-get-ready-business.md                                                                             	             48	                44	                41	                          40	         767	            759	            738	                      736	                    4160	                       4082	                       3936	                                 3927	                       4860	                          4780	                          4616	                                    4606	
ui-how-add-fields-word-report-layout.md                                                              	             92	                89	                87	                          87	        1124	           1119	           1096	                     1096	                    6423	                       6372	                       6231	                                 6231	                       7435	                          7383	                          7221	                                    7221	
ui-how-add-link-to-record.md                                                                         	             65	                58	                52	                          52	         895	            806	            735	                      735	                    4598	                       4096	                       3722	                                 3722	                       5416	                          4836	                          4398	                                    4398	
ui-how-change-layout-currently-used-report.md                                                        	             33	                30	                27	                          27	         636	            626	            601	                      601	                    3299	                       3216	                       3055	                                 3055	                       3894	                          3805	                          3622	                                    3622	
ui-how-create-custom-report-layout.md                                                                	             79	                74	                71	                          71	        1314	           1296	           1230	                     1230	                    6995	                       6857	                       6495	                                 6495	                       8217	                          8067	                          7642	                                    7642	
ui-how-define-ext-text.md                                                                            	             24	                20	                19	                          19	         266	            253	            246	                      246	                    1413	                       1316	                       1264	                                 1264	                       1651	                          1546	                          1488	                                    1488	
ui-how-import-and-export-report-layout.md                                                            	             23	                20	                18	                          18	         367	            357	            303	                      303	                    1929	                       1846	                       1550	                                 1550	                       2267	                          2178	                          1832	                                    1832	
ui-how-preview-post-results.md                                                                       	             11	                 9	                 7	                           7	         138	            134	            102	                      102	                     876	                        836	                        646	                                  646	                        993	                           952	                           733	                                     733	
ui-how-run-batch-jobs.md                                                                             	             16	                14	                12	                          12	         241	            237	            218	                      218	                    1236	                       1196	                       1092	                                 1092	                       1455	                          1414	                          1293	                                    1293	
ui-how-send-documents-email.md                                                                       	             53	                49	                45	                          45	         735	            700	            691	                      691	                    4082	                       3869	                       3794	                                 3794	                       4752	                          4510	                          4427	                                    4427	
ui-how-use-allocation-keys-general-journals.md                                                       	             32	                28	                28	                          27	         372	            347	            338	                      320	                    2117	                       1976	                       1912	                                 1826	                       2451	                          2290	                          2218	                                    2115	
ui-how-users-permissions.md                                                                          	            105	               103	                95	                          95	        1731	           1727	           1597	                     1597	                   10118	                      10078	                       9335	                                 9335	                      11669	                         11628	                         10766	                                   10766	
ui-how-view-test-reports-posting.md                                                                  	             13	                11	                10	                          10	         159	            155	            129	                      129	                     893	                        853	                        710	                                  710	                       1033	                           992	                           825	                                     825	
ui-let-system-suggest-values.md                                                                      	             26	                24	                22	                          22	         450	            446	            393	                      393	                    2692	                       2652	                       2359	                                 2359	                       3106	                          3065	                          2723	                                    2723	
ui-manage-report-layouts.md                                                                          	             49	                46	                45	                          45	         765	            755	            729	                      729	                    4188	                       4105	                       3927	                                 3927	                       4886	                          4797	                          4596	                                    4596	
ui-mandatory-fields.md                                                                               	             11	                 9	                 7	                           7	         183	            179	            173	                      173	                     952	                        912	                        842	                                  842	                       1120	                          1079	                          1007	                                    1007	
ui-mobile-faq.md                                                                                     	             81	                79	                66	                          66	         691	            687	            610	                      610	                    3986	                       3946	                       3524	                                 3524	                       4666	                          4625	                          4135	                                    4135	
ui-organization-switch.md                                                                            	             24	                21	                20	                          20	         355	            347	            325	                      325	                    2006	                       1939	                       1798	                                 1798	                       2321	                          2250	                          2089	                                    2089	
ui-personalization-locked.md                                                                         	             26	                24	                23	                          23	         358	            354	            347	                      347	                    2117	                       2077	                       2026	                                 2026	                       2437	                          2396	                          2339	                                    2339	
ui-personalization-manage.md                                                                         	             44	                42	                35	                          35	         582	            578	            491	                      491	                    3438	                       3398	                       2871	                                 2871	                       3966	                          3925	                          3320	                                    3320	
ui-personalization-user.md                                                                           	            167	               162	               154	                         154	        2371	           2359	           2328	                     2328	                   12386	                      12291	                      12105	                                12105	                      14570	                         14469	                         14258	                                   14258	
ui-post-documents-journals.md                                                                        	             21	                17	                10	                          10	         156	            150	            116	                      116	                    1086	                       1041	                        780	                                  780	                       1215	                          1169	                           881	                                     881	
ui-post-purchases.md                                                                                 	             49	                45	                41	                          41	         578	            567	            559	                      559	                    3299	                       3212	                       3141	                                 3141	                       3813	                          3720	                          3645	                                    3645	
ui-post-sales.md                                                                                     	             47	                44	                29	                          29	         582	            572	            457	                      457	                    3256	                       3173	                       2509	                                 2509	                       3777	                          3688	                          2925	                                    2925	
ui-role-explorer.md                                                                                  	             24	                22	                22	                          22	         364	            360	            360	                      360	                    1992	                       1952	                       1952	                                 1952	                       2318	                          2277	                          2277	                                    2277	
ui-search-faq.md                                                                                     	             28	                25	                25	                          25	         350	            345	            345	                      345	                    1802	                       1759	                       1759	                                 1759	                       2119	                          2075	                          2075	                                    2075	
ui-search-filter-faq.md                                                                              	             49	                47	                45	                          45	         820	            816	            807	                      807	                    4404	                       4364	                       4309	                                 4309	                       5161	                          5120	                          5058	                                    5058	
ui-search.md                                                                                         	             48	                45	                45	                          45	         709	            699	            699	                      699	                    3884	                       3801	                       3801	                                 3801	                       4526	                          4437	                          4437	                                    4437	
ui-smart-notifications.md                                                                            	             18	                16	                14	                          14	         320	            316	            289	                      289	                    1739	                       1699	                       1496	                                 1496	                       2034	                          1993	                          1768	                                    1768	
ui-specify-printer-selection-reports.md                                                              	             63	                58	                56	                          56	         968	            955	            946	                      946	                    5372	                       5266	                       5211	                                 5211	                       6259	                          6147	                          6085	                                    6085	
ui-troubleshoot-self-signup.md                                                                       	             64	                62	                53	                          53	         954	            950	            854	                      854	                    5551	                       5511	                       4986	                                 4986	                       6399	                          6358	                          5750	                                    5750	
ui-troubleshooting-camera-location.md                                                                	             31	                29	                29	                          29	         447	            443	            443	                      443	                    2704	                       2664	                       2664	                                 2664	                       3112	                          3071	                          3071	                                    3071	
ui-update-report-layouts.md                                                                          	             49	                46	                44	                          44	         752	            742	            704	                      704	                    3798	                       3715	                       3501	                                 3501	                       4499	                          4410	                          4161	                                    4161	
ui-views-faq.md                                                                                      	             94	                91	                90	                          90	        1352	           1347	           1346	                     1346	                    6893	                       6850	                       6846	                                 6846	                       8137	                          8093	                          8089	                                    8089	
ui-views.md                                                                                          	             29	                27	                24	                          24	         362	            358	            326	                      326	                    1840	                       1800	                       1633	                                 1633	                       2160	                          2119	                          1923	                                    1923	
ui-work-general-journals.md                                                                          	            204	               196	               179	                         179	        3557	           3492	           3262	                     3262	                   19128	                      18755	                      17429	                                17429	                      22444	                         22017	                         20483	                                   20483	
ui-work-product.md                                                                                   	             62	                56	                43	                          43	         669	            655	            593	                      593	                    3939	                       3822	                       3328	                                 3328	                       4530	                          4407	                          3864	                                    3864	
ui-work-report.md                                                                                    	            110	               107	               102	                         102	        1538	           1533	           1483	                     1483	                    8009	                       7964	                       7683	                                 7683	                       9426	                          9380	                          9056	                                    9056	
ui-work-with-notes.md                                                                                	              8	                 6	                 4	                           4	          55	             51	             46	                       46	                     376	                        336	                        269	                                  269	                        420	                           379	                           310	                                     310	
walkthrough-business-process-walkthroughs.md                                                         	             52	                47	                25	                          25	         407	            399	            283	                      283	                    2799	                       2725	                       1715	                                 1715	                       3147	                          3072	                          1970	                                    1970	
walkthrough-calculating-work-in-process-for-a-job.md                                                 	            144	                 0	               124	                           0	        1677	              0	           1576	                        0	                    8929	                          0	                       8344	                                    0	                      10440	                             0	                          9777	                                       0	
walkthrough-conducting-a-sales-campaign.md                                                           	            149	                 0	               133	                           0	        1967	              0	           1859	                        0	                   11059	                          0	                      10356	                                    0	                      12865	                             0	                         12072	                                       0	
walkthrough-making-cash-flow-forecasts-by-using-account-schedules.md                                 	            258	                 0	               124	                           0	        1202	              0	            937	                        0	                    6294	                          0	                       5011	                                    0	                       7225	                             0	                          5814	                                       0	
walkthrough-managing-projects-with-jobs.md                                                           	            484	                 0	               310	                           0	        3834	              0	           3187	                        0	                   21032	                          0	                      17353	                                    0	                      24354	                             0	                         20218	                                       0	
walkthrough-picking-and-shipping-in-basic-warehousing.md                                             	            118	                76	                64	                          55	         963	            744	            750	                      679	                    5654	                       4276	                       4435	                                 4004	                       6459	                          4912	                          5093	                                    4601	
walkthrough-planning-supplies-automatically.md                                                       	            263	                 0	               183	                           0	        2979	              0	           2562	                        0	                   15946	                          0	                      13555	                                    0	                      18621	                             0	                         15897	                                       0	
walkthrough-planning-supplies-manually.md                                                            	            171	                 0	               149	                           0	        2083	              0	           1966	                        0	                   11615	                          0	                      10842	                                    0	                      13524	                             0	                         12660	                                       0	
walkthrough-receiving-and-putting-away-in-advanced-warehousing.md                                    	            152	               110	                86	                          83	        1469	           1273	           1194	                     1177	                    8168	                       6940	                       6536	                                 6422	                       9460	                          8084	                          7629	                                    7501	
walkthrough-receiving-and-putting-away-in-basic-warehousing.md                                       	            114	                82	                43	                          43	        1022	            856	            640	                      640	                    5855	                       4810	                       3613	                                 3613	                       6722	                          5549	                          4185	                                    4185	
walkthrough-selling-assembling-and-shipping-kits.md                                                  	            416	                 0	               265	                           0	        4097	              0	           3389	                        0	                   22507	                          0	                      18316	                                    0	                      26135	                             0	                         21409	                                       0	
walkthrough-setting-up-and-invoicing-sales-prepayments.md                                            	            196	                 0	               147	                           0	        1917	              0	           1626	                        0	                   11011	                          0	                       9226	                                    0	                      12717	                             0	                         10697	                                       0	
walkthrough-setting-up-and-using-a-purchase-approval-workflow.md                                     	             98	                92	                81	                          81	        1292	           1252	           1073	                     1073	                    7467	                       7217	                       6166	                                 6166	                       8640	                          8358	                          7143	                                    7143	
walkthrough-tracing-serial-lot-numbers.md                                                            	            275	                 0	               170	                           0	        2826	              0	           2254	                        0	                   15539	                          0	                      12273	                                    0	                      18073	                             0	                         14351	                                       0	
warehouse-enable-automatic-breaking-bulk-with-directed-put-away-and-pick.md                          	             23	                20	                21	                          20	         513	            491	            509	                      491	                    2854	                       2567	                       2814	                                 2567	                       3333	                          3035	                          3292	                                    3035	
warehouse-how-receive-items.md                                                                       	            107	                97	                89	                          89	        1543	           1449	           1393	                     1393	                    8416	                       7715	                       7369	                                 7369	                       9831	                          9056	                          8664	                                    8664	
warehouse-how-ship-items.md                                                                          	             80	                69	                53	                          53	        1245	           1148	            978	                      978	                    6736	                       6017	                       5108	                                 5108	                       7882	                          7087	                          6025	                                    6025	
